RunID,Mode,Lambda1,Lambda2,Gamma,GraphK,Tol,ACC,NMI,Purity,TimeSec,Status
1,1,0.000100,0.000100,1.10,3,1.0e-03,0.360000,0.579990,0.387500,3.98,Success
2,2,0.000100,0.000100,1.10,3,1.0e-03,0.535000,0.757256,0.582500,5.27,Success
3,3,0.000100,0.000100,1.10,3,1.0e-03,0.467500,0.682608,0.497500,5.27,Success
4,4,0.000100,0.000100,1.10,3,1.0e-03,0.515000,0.704786,0.545000,5.22,Success
5,5,0.000100,0.000100,1.10,3,1.0e-03,0.340000,0.576457,0.360000,4.11,Success
6,1,0.001000,0.000100,1.10,3,1.0e-03,0.270000,0.514267,0.302500,5.18,Success
7,2,0.001000,0.000100,1.10,3,1.0e-03,0.587500,0.764928,0.617500,4.06,Success
8,3,0.001000,0.000100,1.10,3,1.0e-03,0.387500,0.628068,0.425000,2.07,Success
9,4,0.001000,0.000100,1.10,3,1.0e-03,0.367500,0.597998,0.397500,5.19,Success
10,5,0.001000,0.000100,1.10,3,1.0e-03,0.255000,0.502284,0.270000,5.26,Success
11,1,0.010000,0.000100,1.10,3,1.0e-03,0.130000,0.367582,0.180000,5.15,Success
12,2,0.010000,0.000100,1.10,3,1.0e-03,0.172500,0.393986,0.227500,5.18,Success
13,3,0.010000,0.000100,1.10,3,1.0e-03,0.187500,0.395541,0.222500,5.23,Success
14,4,0.010000,0.000100,1.10,3,1.0e-03,0.202500,0.434249,0.230000,5.39,Success
15,5,0.010000,0.000100,1.10,3,1.0e-03,0.125000,0.363964,0.175000,5.32,Success
16,1,0.100000,0.000100,1.10,3,1.0e-03,0.210000,0.453830,0.230000,5.79,Success
17,2,0.100000,0.000100,1.10,3,1.0e-03,0.240000,0.468366,0.252500,5.85,Success
18,3,0.100000,0.000100,1.10,3,1.0e-03,0.195000,0.435034,0.200000,5.46,Success
19,4,0.100000,0.000100,1.10,3,1.0e-03,0.227500,0.468845,0.235000,5.30,Success
20,5,0.100000,0.000100,1.10,3,1.0e-03,0.187500,0.430037,0.197500,5.33,Success
21,1,1.000000,0.000100,1.10,3,1.0e-03,0.197500,0.441885,0.202500,5.28,Success
22,2,1.000000,0.000100,1.10,3,1.0e-03,0.192500,0.426734,0.202500,5.21,Success
23,3,1.000000,0.000100,1.10,3,1.0e-03,0.197500,0.442690,0.212500,5.24,Success
24,4,1.000000,0.000100,1.10,3,1.0e-03,0.200000,0.443671,0.207500,5.18,Success
