trial,gamma,lambda1,lambda2,beta,k,ACC,NMI,Purity,time_s,alpha1,alpha2
1,4.00,0.000010,0.001500,246,7,78.00,90.13,80.75,28.12,0.4684,0.5316
2,4.00,0.000010,0.002000,246,7,77.25,90.14,80.50,27.01,0.4573,0.5427
3,4.00,0.000010,0.002500,246,7,78.25,90.74,80.25,27.67,0.4621,0.5379
4,4.00,0.000010,0.003000,246,7,76.25,89.62,78.50,28.51,0.4602,0.5398
5,4.00,0.000010,0.004000,246,7,79.25,89.99,80.00,28.89,0.4596,0.5404
6,4.00,0.000010,0.005000,246,7,74.75,89.67,79.25,27.15,0.4593,0.5407
7,4.00,0.000010,0.008000,246,7,77.75,90.86,81.25,27.10,0.4542,0.5458
8,4.00,0.000010,0.010000,246,7,75.75,88.73,78.50,27.47,0.4498,0.5502
9,4.50,0.000010,0.001500,246,7,76.50,89.53,79.00,27.77,0.4705,0.5295
10,4.50,0.000010,0.002000,246,7,73.50,89.04,78.25,27.44,0.4652,0.5348
11,4.50,0.000010,0.002500,246,7,77.00,89.45,79.75,27.13,0.4635,0.5365
12,4.50,0.000010,0.003000,246,7,76.50,89.72,79.00,27.58,0.4601,0.5399
13,4.50,0.000010,0.004000,246,7,75.75,88.51,77.75,27.31,0.4661,0.5339
14,4.50,0.000010,0.005000,246,7,77.00,90.16,80.00,28.38,0.4597,0.5403
15,4.50,0.000010,0.008000,246,7,76.25,90.08,79.75,29.87,0.4584,0.5416
16,4.50,0.000010,0.010000,246,7,77.75,89.63,80.00,28.64,0.4619,0.5381
17,5.00,0.000010,0.001500,246,7,76.00,89.79,79.75,27.95,0.4700,0.5300
18,5.00,0.000010,0.002000,246,7,79.75,90.72,82.25,28.34,0.4643,0.5357
19,5.00,0.000010,0.002500,246,7,76.50,90.40,79.50,29.16,0.4612,0.5388
20,5.00,0.000010,0.003000,246,7,77.00,89.95,79.50,28.02,0.4663,0.5337
21,5.00,0.000010,0.004000,246,7,76.00,90.34,79.50,28.51,0.4631,0.5369
22,5.00,0.000010,0.005000,246,7,76.50,90.59,81.25,26.92,0.4695,0.5305
23,5.00,0.000010,0.008000,246,7,72.50,87.43,76.25,27.26,0.4567,0.5433
24,5.00,0.000010,0.010000,246,7,75.75,90.66,80.00,27.10,0.4573,0.5427
25,5.50,0.000010,0.001500,246,7,80.75,91.82,83.75,27.30,0.4673,0.5327
26,5.50,0.000010,0.002000,246,7,76.00,89.44,79.50,26.55,0.4658,0.5342
27,5.50,0.000010,0.002500,246,7,78.25,89.76,80.25,25.77,0.4674,0.5326
28,5.50,0.000010,0.003000,246,7,81.25,91.08,82.00,26.17,0.4669,0.5331
29,5.50,0.000010,0.004000,246,7,81.50,91.46,83.50,27.01,0.4665,0.5335
30,5.50,0.000010,0.005000,246,7,77.00,91.20,80.50,27.03,0.4655,0.5345
31,5.50,0.000010,0.008000,246,7,76.50,89.98,79.75,26.74,0.4650,0.5350
32,5.50,0.000010,0.010000,246,7,75.25,88.59,77.75,25.76,0.4651,0.5349
33,6.00,0.000010,0.001500,246,7,77.75,89.86,79.75,25.76,0.4734,0.5266
34,6.00,0.000010,0.002000,246,7,81.00,91.96,83.50,26.10,0.4721,0.5279
35,6.00,0.000010,0.002500,246,7,81.00,92.04,83.50,27.03,0.4705,0.5295
36,6.00,0.000010,0.003000,246,7,76.50,89.09,79.25,27.31,0.4681,0.5319
37,6.00,0.000010,0.004000,246,7,75.25,89.80,78.50,26.90,0.4720,0.5280
38,6.00,0.000010,0.005000,246,7,79.75,90.64,81.75,26.83,0.4701,0.5299
39,6.00,0.000010,0.008000,246,7,79.25,90.76,81.75,27.66,0.4683,0.5317
40,6.00,0.000010,0.010000,246,7,75.50,89.27,77.75,26.96,0.4655,0.5345
41,7.00,0.000010,0.001500,246,7,80.75,90.84,82.75,27.13,0.4769,0.5231
42,7.00,0.000010,0.002000,246,7,80.25,91.42,82.25,27.06,0.4720,0.5280
43,7.00,0.000010,0.002500,246,7,82.75,91.73,85.00,27.06,0.4753,0.5247
44,7.00,0.000010,0.003000,246,7,77.25,90.34,80.75,27.21,0.4735,0.5265
45,7.00,0.000010,0.004000,246,7,78.25,89.99,81.25,26.97,0.4743,0.5257
46,7.00,0.000010,0.005000,246,7,81.50,91.72,83.25,27.61,0.4727,0.5273
47,7.00,0.000010,0.008000,246,7,74.50,88.98,77.75,27.09,0.4696,0.5304
48,7.00,0.000010,0.010000,246,7,79.25,90.93,81.50,28.09,0.4709,0.5291
49,8.00,0.000010,0.001500,246,7,78.50,90.52,81.75,28.17,0.4772,0.5228
50,8.00,0.000010,0.002000,246,7,76.00,90.13,79.50,28.08,0.4750,0.5250
51,8.00,0.000010,0.002500,246,7,84.00,91.90,86.00,27.13,0.4779,0.5221
52,8.00,0.000010,0.003000,246,7,80.75,90.69,82.50,26.84,0.4777,0.5223
53,8.00,0.000010,0.004000,246,7,80.00,90.29,82.00,26.92,0.4741,0.5259
