step,trial,norm,beta,layers,gamma,lambda1,lambda2,k,ACC,NMI,Purity,time_s
1,1,1,10,400-150-40,1.20,0.000010,0.001000,7,78.75,88.92,80.00,26.24
1,2,1,25,400-150-40,1.20,0.000010,0.001000,7,80.50,90.79,82.75,26.91
1,3,1,67,400-150-40,1.20,0.000010,0.001000,7,78.00,89.24,79.75,26.43
1,4,1,73,400-150-40,1.20,0.000010,0.001000,7,78.00,89.52,78.75,26.18
1,5,1,84,400-150-40,1.20,0.000010,0.001000,7,75.75,89.09,79.00,26.19
1,6,1,87,400-150-40,1.20,0.000010,0.001000,7,77.75,89.87,80.50,26.27
1,7,1,92,400-150-40,1.20,0.000010,0.001000,7,76.00,89.05,78.50,26.46
1,8,1,99,400-150-40,1.20,0.000010,0.001000,7,75.75,87.77,78.00,26.41
1,9,1,115,400-150-40,1.20,0.000010,0.001000,7,78.00,89.68,79.00,26.29
1,10,1,135,400-150-40,1.20,0.000010,0.001000,7,77.00,89.58,79.00,26.20
1,11,1,173,400-150-40,1.20,0.000010,0.001000,7,79.50,90.35,81.75,26.43
1,12,1,196,400-150-40,1.20,0.000010,0.001000,7,77.00,88.99,78.50,26.12
1,13,1,221,400-150-40,1.20,0.000010,0.001000,7,77.50,90.18,80.00,26.48
1,14,1,230,400-150-40,1.20,0.000010,0.001000,7,76.00,89.15,78.00,26.13
1,15,1,246,400-150-40,1.20,0.000010,0.001000,7,73.75,88.87,77.50,26.34
1,16,1,247,400-150-40,1.20,0.000010,0.001000,7,77.00,90.05,80.50,26.44
1,17,1,248,400-150-40,1.20,0.000010,0.001000,7,79.00,91.55,82.75,26.35
1,18,1,268,400-150-40,1.20,0.000010,0.001000,7,75.75,89.76,78.50,26.36
1,19,1,271,400-150-40,1.20,0.000010,0.001000,7,77.75,91.68,81.00,26.15
1,20,1,277,400-150-40,1.20,0.000010,0.001000,7,78.75,89.53,81.00,26.28
1,21,1,283,400-150-40,1.20,0.000010,0.001000,7,78.25,90.17,80.50,26.62
1,22,1,290,400-150-40,1.20,0.000010,0.001000,7,77.50,90.44,79.50,26.91
1,23,1,291,400-150-40,1.20,0.000010,0.001000,7,83.75,93.21,86.00,26.27
1,24,1,300,400-150-40,1.20,0.000010,0.001000,7,79.50,90.42,81.00,26.67
1,25,1,301,400-150-40,1.20,0.000010,0.001000,7,74.25,88.80,77.00,26.10
1,26,1,305,400-150-40,1.20,0.000010,0.001000,7,78.75,91.66,81.75,26.19
1,27,1,320,400-150-40,1.20,0.000010,0.001000,7,79.25,90.56,82.25,26.07
1,28,1,324,400-150-40,1.20,0.000010,0.001000,7,78.25,90.57,80.75,26.28
1,29,1,336,400-150-40,1.20,0.000010,0.001000,7,78.00,90.13,80.75,26.12
1,30,1,367,400-150-40,1.20,0.000010,0.001000,7,77.50,89.44,78.75,26.12
1,31,2,10,400-150-40,1.20,0.000010,0.001000,7,77.50,89.86,80.50,26.11
1,32,2,25,400-150-40,1.20,0.000010,0.001000,7,80.25,90.46,81.75,26.04
1,33,2,67,400-150-40,1.20,0.000010,0.001000,7,79.75,91.64,82.75,26.31
1,34,2,73,400-150-40,1.20,0.000010,0.001000,7,81.75,92.56,83.75,26.03
1,35,2,84,400-150-40,1.20,0.000010,0.001000,7,83.25,92.16,84.50,26.19
1,36,2,87,400-150-40,1.20,0.000010,0.001000,7,78.75,90.97,81.75,26.31
1,37,2,92,400-150-40,1.20,0.000010,0.001000,7,80.00,91.38,83.00,26.06
1,38,2,99,400-150-40,1.20,0.000010,0.001000,7,82.50,91.68,84.50,26.43
1,39,2,115,400-150-40,1.20,0.000010,0.001000,7,79.50,90.99,82.75,26.12
1,40,2,135,400-150-40,1.20,0.000010,0.001000,7,80.25,90.94,81.75,26.14
1,41,2,173,400-150-40,1.20,0.000010,0.001000,7,79.50,90.39,81.00,26.21
1,42,2,196,400-150-40,1.20,0.000010,0.001000,7,78.50,91.02,81.75,26.10
1,43,2,221,400-150-40,1.20,0.000010,0.001000,7,80.25,90.87,83.00,26.32
1,44,2,230,400-150-40,1.20,0.000010,0.001000,7,77.75,90.41,82.00,26.02
1,45,2,246,400-150-40,1.20,0.000010,0.001000,7,81.00,90.97,83.25,26.18
1,46,2,247,400-150-40,1.20,0.000010,0.001000,7,79.50,91.31,82.50,26.15
1,47,2,248,400-150-40,1.20,0.000010,0.001000,7,79.25,90.60,83.00,26.23
1,48,2,268,400-150-40,1.20,0.000010,0.001000,7,76.50,89.74,80.50,26.70
1,49,2,271,400-150-40,1.20,0.000010,0.001000,7,81.75,91.01,83.00,26.06
1,50,2,277,400-150-40,1.20,0.000010,0.001000,7,78.00,90.12,81.25,26.04
1,51,2,283,400-150-40,1.20,0.000010,0.001000,7,80.75,90.79,82.75,26.19
1,52,2,290,400-150-40,1.20,0.000010,0.001000,7,80.25,91.32,82.75,26.13
1,53,2,291,400-150-40,1.20,0.000010,0.001000,7,82.00,90.32,83.25,26.54
1,54,2,300,400-150-40,1.20,0.000010,0.001000,7,79.75,90.38,82.00,26.06
1,55,2,301,400-150-40,1.20,0.000010,0.001000,7,82.50,91.21,84.00,26.11
1,56,2,305,400-150-40,1.20,0.000010,0.001000,7,80.00,91.33,81.75,26.17
1,57,2,320,400-150-40,1.20,0.000010,0.001000,7,78.75,90.51,81.25,26.28
1,58,2,324,400-150-40,1.20,0.000010,0.001000,7,77.50,90.08,80.75,26.32
1,59,2,336,400-150-40,1.20,0.000010,0.001000,7,78.75,90.05,80.75,26.25
1,60,2,367,400-150-40,1.20,0.000010,0.001000,7,80.00,90.74,82.75,26.10
1,61,3,10,400-150-40,1.20,0.000010,0.001000,7,76.00,89.20,79.00,26.20
1,62,3,25,400-150-40,1.20,0.000010,0.001000,7,71.75,87.70,76.25,26.09
1,63,3,67,400-150-40,1.20,0.000010,0.001000,7,76.75,89.86,79.75,26.21
1,64,3,73,400-150-40,1.20,0.000010,0.001000,7,76.25,90.41,80.00,26.08
1,65,3,84,400-150-40,1.20,0.000010,0.001000,7,77.00,90.18,79.50,26.21
1,66,3,87,400-150-40,1.20,0.000010,0.001000,7,78.00,90.26,81.00,26.30
1,67,3,92,400-150-40,1.20,0.000010,0.001000,7,79.50,90.29,81.75,26.08
1,68,3,99,400-150-40,1.20,0.000010,0.001000,7,75.00,88.87,78.00,26.22
1,69,3,115,400-150-40,1.20,0.000010,0.001000,7,83.50,91.95,84.00,26.03
1,70,3,135,400-150-40,1.20,0.000010,0.001000,7,78.50,90.68,81.00,26.49
1,71,3,173,400-150-40,1.20,0.000010,0.001000,7,80.75,90.96,83.00,26.39
1,72,3,196,400-150-40,1.20,0.000010,0.001000,7,79.50,90.98,81.75,26.09
1,73,3,221,400-150-40,1.20,0.000010,0.001000,7,83.50,92.44,84.50,26.38
1,74,3,230,400-150-40,1.20,0.000010,0.001000,7,75.50,90.40,80.50,26.13
1,75,3,246,400-150-40,1.20,0.000010,0.001000,7,81.25,91.42,82.50,26.37
1,76,3,247,400-150-40,1.20,0.000010,0.001000,7,79.25,91.39,81.50,26.18
1,77,3,248,400-150-40,1.20,0.000010,0.001000,7,75.75,89.38,79.25,26.09
1,78,3,268,400-150-40,1.20,0.000010,0.001000,7,82.25,92.10,84.00,26.21
1,79,3,271,400-150-40,1.20,0.000010,0.001000,7,79.75,91.46,82.50,26.30
1,80,3,277,400-150-40,1.20,0.000010,0.001000,7,79.50,91.51,81.75,26.18
1,81,3,283,400-150-40,1.20,0.000010,0.001000,7,78.75,91.00,81.75,26.14
1,82,3,290,400-150-40,1.20,0.000010,0.001000,7,80.25,91.78,82.75,26.23
1,83,3,291,400-150-40,1.20,0.000010,0.001000,7,81.00,91.26,82.75,26.56
1,84,3,300,400-150-40,1.20,0.000010,0.001000,7,80.25,91.03,82.00,26.13
1,85,3,301,400-150-40,1.20,0.000010,0.001000,7,78.00,89.95,80.25,26.23
1,86,3,305,400-150-40,1.20,0.000010,0.001000,7,77.00,90.27,79.75,26.19
1,87,3,320,400-150-40,1.20,0.000010,0.001000,7,77.50,90.29,81.25,26.12
1,88,3,324,400-150-40,1.20,0.000010,0.001000,7,78.25,90.79,80.25,25.52
1,89,3,336,400-150-40,1.20,0.000010,0.001000,7,78.50,90.56,81.25,28.82
1,90,3,367,400-150-40,1.20,0.000010,0.001000,7,76.25,89.81,79.50,29.73
1,91,4,10,400-150-40,1.20,0.000010,0.001000,7,77.50,89.97,79.50,29.59
